x,y,z
1.5,1.5,1.349858807576
1.5,1.5,1.82211880039051
1.5,1.5,2.45960311115695
1.5,1.5,3.32011692273655
1.5,4.5,1.349858807576
1.5,4.5,1.82211880039051
1.5,4.5,2.45960311115695
1.5,4.5,3.32011692273655
1,7,1.349858807576
1.5,9.5,1.349858807576
1.5,9.5,1.82211880039051
1.5,9.5,2.45960311115695
1.5,9.5,3.32011692273655
1,12,1.349858807576
1.5,14.5,1.349858807576
1.5,14.5,1.82211880039051
1.5,14.5,2.45960311115695
1.5,14.5,3.32011692273655
1.5,17.5,1.349858807576
2.5,17.5,1.349858807576
1.5,18.5,1.349858807576
2.5,18.5,1.349858807576
2,18,1.82211880039051
2,18,2.45960311115695
2,18,3.32011692273655
1,21,1.349858807576
1,23,1.349858807576
1.5,25.5,1.349858807576
1.5,25.5,1.82211880039051
1.5,25.5,2.45960311115695
1.5,25.5,3.32011692273655
1.5,28.5,1.349858807576
2.5,28.5,1.349858807576
1.5,29.5,1.349858807576
2.5,29.5,1.349858807576
2,29,1.82211880039051
2,29,2.45960311115695
2,29,3.32011692273655
1.5,32.5,1.349858807576
1.5,32.5,1.82211880039051
1.5,32.5,2.45960311115695
1.5,32.5,3.32011692273655
1,35,1.349858807576
1.5,37.5,1.349858807576
2.5,37.5,1.349858807576
1.5,38.5,1.349858807576
2.5,38.5,1.349858807576
2,38,1.82211880039051
2,38,2.45960311115695
2,38,3.32011692273655
1.5,41.5,1.349858807576
1.5,41.5,1.82211880039051
1.5,41.5,2.45960311115695
1.5,41.5,3.32011692273655
1,44,1.349858807576
1.5,46.5,1.349858807576
1.5,46.5,1.82211880039051
1.5,46.5,2.45960311115695
1.5,46.5,3.32011692273655
1,49,1.349858807576
1,51,1.349858807576
1,53,1.349858807576
1,55,1.349858807576
1,57,1.349858807576
1,59,1.349858807576
1,61,1.349858807576
1,63,1.349858807576
1,65,1.349858807576
1,67,1.349858807576
1,69,1.349858807576
1,71,1.349858807576
1.5,73.5,1.349858807576
1.5,73.5,1.82211880039051
1.5,73.5,2.45960311115695
1.5,73.5,3.32011692273655
1,76,1.349858807576
1,78,1.349858807576
1,80,1.349858807576
1.5,82.5,1.349858807576
1.5,82.5,1.82211880039051
1.5,82.5,2.45960311115695
1.5,82.5,3.32011692273655
1,85,1.349858807576
1.5,87.5,1.349858807576
2.5,87.5,1.349858807576
3.5,87.5,1.349858807576
4.5,87.5,1.349858807576
5.5,87.5,1.349858807576
6.5,87.5,1.349858807576
7.5,87.5,1.349858807576
1.5,88.5,1.349858807576
2.5,88.5,1.349858807576
3.5,88.5,1.349858807576
4.5,88.5,1.349858807576
5.5,88.5,1.349858807576
6.5,88.5,1.349858807576
7.5,88.5,1.349858807576
1.5,89.5,1.349858807576
2.5,89.5,1.349858807576
3.5,89.5,1.349858807576
4.5,89.5,1.349858807576
5.5,89.5,1.349858807576
6.5,89.5,1.349858807576
7.5,89.5,1.349858807576
1.5,90.5,1.349858807576
2.5,90.5,1.349858807576
3.5,90.5,1.349858807576
4.5,90.5,1.349858807576
5.5,90.5,1.349858807576
6.5,90.5,1.349858807576
7.5,90.5,1.349858807576
1.5,91.5,1.349858807576
2.5,91.5,1.349858807576
3.5,91.5,1.349858807576
4.5,91.5,1.349858807576
5.5,91.5,1.349858807576
6.5,91.5,1.349858807576
7.5,91.5,1.349858807576
1.5,92.5,1.349858807576
2.5,92.5,1.349858807576
3.5,92.5,1.349858807576
4.5,92.5,1.349858807576
5.5,92.5,1.349858807576
6.5,92.5,1.349858807576
7.5,92.5,1.349858807576
1.5,93.5,1.349858807576
2.5,93.5,1.349858807576
3.5,93.5,1.349858807576
4.5,93.5,1.349858807576
5.5,93.5,1.349858807576
6.5,93.5,1.349858807576
7.5,93.5,1.349858807576
2.5,88.5,1.82211880039051
3.5,88.5,1.82211880039051
4.5,88.5,1.82211880039051
5.5,88.5,1.82211880039051
6.5,88.5,1.82211880039051
2.5,89.5,1.82211880039051
3.5,89.5,1.82211880039051
4.5,89.5,1.82211880039051
5.5,89.5,1.82211880039051
6.5,89.5,1.82211880039051
2.5,90.5,1.82211880039051
3.5,90.5,1.82211880039051
4.5,90.5,1.82211880039051
5.5,90.5,1.82211880039051
6.5,90.5,1.82211880039051
2.5,91.5,1.82211880039051
3.5,91.5,1.82211880039051
4.5,91.5,1.82211880039051
5.5,91.5,1.82211880039051
6.5,91.5,1.82211880039051
2.5,92.5,1.82211880039051
3.5,92.5,1.82211880039051
4.5,92.5,1.82211880039051
5.5,92.5,1.82211880039051
6.5,92.5,1.82211880039051
3,89,2.45960311115695
4,89,2.45960311115695
5,89,2.45960311115695
6,89,2.45960311115695
3,90,2.45960311115695
4,90,2.45960311115695
5,90,2.45960311115695
6,90,2.45960311115695
3,91,2.45960311115695
4,91,2.45960311115695
5,91,2.45960311115695
6,91,2.45960311115695
3,92,2.45960311115695
4,92,2.45960311115695
5,92,2.45960311115695
6,92,2.45960311115695
3.5,89.5,3.32011692273655
4.5,89.5,3.32011692273655
5.5,89.5,3.32011692273655
3.5,90.5,3.32011692273655
4.5,90.5,3.32011692273655
5.5,90.5,3.32011692273655
3.5,91.5,3.32011692273655
4.5,91.5,3.32011692273655
5.5,91.5,3.32011692273655
4,90,4.48168907033806
5,90,4.48168907033806
4,91,4.48168907033806
5,91,4.48168907033806
4.5,90.5,6.04964746441295
4.5,90.5,8.16616991256765
1.5,96.5,1.349858807576
1.5,96.5,1.82211880039051
1.5,96.5,2.45960311115695
1.5,96.5,3.32011692273655
1.5,99.5,1.349858807576
2.5,99.5,1.349858807576
1.5,100.5,1.349858807576
2.5,100.5,1.349858807576
2,100,1.82211880039051
2,100,2.45960311115695
2,100,3.32011692273655
1.5,103.5,1.349858807576
1.5,103.5,1.82211880039051
1.5,103.5,2.45960311115695
1.5,103.5,3.32011692273655
1,106,1.349858807576
1,108,1.349858807576
1,110,1.349858807576
1,112,1.349858807576
1,114,1.349858807576
1,116,1.349858807576
1.5,118.5,1.349858807576
1.5,118.5,1.82211880039051
1.5,118.5,2.45960311115695
1.5,118.5,3.32011692273655
1,121,1.349858807576
1.5,123.5,1.349858807576
1.5,123.5,1.82211880039051
1.5,123.5,2.45960311115695
1.5,123.5,3.32011692273655
1,126,1.349858807576
1.5,128.5,1.349858807576
1.5,128.5,1.82211880039051
1.5,128.5,2.45960311115695
1.5,128.5,3.32011692273655
1,131,1.349858807576
1.5,133.5,1.349858807576
1.5,133.5,1.82211880039051
1.5,133.5,2.45960311115695
1.5,133.5,3.32011692273655
1,136,1.349858807576
1,138,1.349858807576
1.5,140.5,1.349858807576
1.5,140.5,1.82211880039051
1.5,140.5,2.45960311115695
1.5,140.5,3.32011692273655
1,143,1.349858807576
1,145,1.349858807576
1.5,147.5,1.349858807576
1.5,147.5,1.82211880039051
1.5,147.5,2.45960311115695
1.5,147.5,3.32011692273655
1.5,150.5,1.349858807576
2.5,150.5,1.349858807576
3.5,150.5,1.349858807576
4.5,150.5,1.349858807576
1.5,151.5,1.349858807576
2.5,151.5,1.349858807576
3.5,151.5,1.349858807576
4.5,151.5,1.349858807576
1.5,152.5,1.349858807576
2.5,152.5,1.349858807576
3.5,152.5,1.349858807576
4.5,152.5,1.349858807576
1.5,153.5,1.349858807576
2.5,153.5,1.349858807576
3.5,153.5,1.349858807576
4.5,153.5,1.349858807576
2,151,1.82211880039051
3,151,1.82211880039051
4,151,1.82211880039051
2,152,1.82211880039051
3,152,1.82211880039051
4,152,1.82211880039051
2,153,1.82211880039051
3,153,1.82211880039051
4,153,1.82211880039051
2.5,151.5,2.45960311115695
3.5,151.5,2.45960311115695
2.5,152.5,2.45960311115695
3.5,152.5,2.45960311115695
3,152,3.32011692273655
3,152,4.48168907033806
3,152,6.04964746441295
1,156,1.349858807576
1.5,158.5,1.349858807576
2.5,158.5,1.349858807576
3.5,158.5,1.349858807576
4.5,158.5,1.349858807576
5.5,158.5,1.349858807576
6.5,158.5,1.349858807576
7.5,158.5,1.349858807576
8.5,158.5,1.349858807576
9.5,158.5,1.349858807576
10.5,158.5,1.349858807576
11.5,158.5,1.349858807576
12.5,158.5,1.349858807576
13.5,158.5,1.349858807576
14.5,158.5,1.349858807576
1.5,159.5,1.349858807576
2.5,159.5,1.349858807576
3.5,159.5,1.349858807576
4.5,159.5,1.349858807576
5.5,159.5,1.349858807576
6.5,159.5,1.349858807576
7.5,159.5,1.349858807576
8.5,159.5,1.349858807576
9.5,159.5,1.349858807576
10.5,159.5,1.349858807576
11.5,159.5,1.349858807576
12.5,159.5,1.349858807576
13.5,159.5,1.349858807576
14.5,159.5,1.349858807576
1.5,160.5,1.349858807576
2.5,160.5,1.349858807576
3.5,160.5,1.349858807576
4.5,160.5,1.349858807576
5.5,160.5,1.349858807576
6.5,160.5,1.349858807576
7.5,160.5,1.349858807576
8.5,160.5,1.349858807576
9.5,160.5,1.349858807576
10.5,160.5,1.349858807576
11.5,160.5,1.349858807576
12.5,160.5,1.349858807576
13.5,160.5,1.349858807576
14.5,160.5,1.349858807576
1.5,161.5,1.349858807576
2.5,161.5,1.349858807576
3.5,161.5,1.349858807576
4.5,161.5,1.349858807576
5.5,161.5,1.349858807576
6.5,161.5,1.349858807576
7.5,161.5,1.349858807576
8.5,161.5,1.349858807576
9.5,161.5,1.349858807576
10.5,161.5,1.349858807576
11.5,161.5,1.349858807576
12.5,161.5,1.349858807576
13.5,161.5,1.349858807576
14.5,161.5,1.349858807576
1.5,162.5,1.349858807576
2.5,162.5,1.349858807576
3.5,162.5,1.349858807576
4.5,162.5,1.349858807576
5.5,162.5,1.349858807576
6.5,162.5,1.349858807576
7.5,162.5,1.349858807576
8.5,162.5,1.349858807576
9.5,162.5,1.349858807576
10.5,162.5,1.349858807576
11.5,162.5,1.349858807576
12.5,162.5,1.349858807576
13.5,162.5,1.349858807576
14.5,162.5,1.349858807576
1.5,163.5,1.349858807576
2.5,163.5,1.349858807576
3.5,163.5,1.349858807576
4.5,163.5,1.349858807576
5.5,163.5,1.349858807576
6.5,163.5,1.349858807576
7.5,163.5,1.349858807576
8.5,163.5,1.349858807576
9.5,163.5,1.349858807576
10.5,163.5,1.349858807576
11.5,163.5,1.349858807576
12.5,163.5,1.349858807576
13.5,163.5,1.349858807576
14.5,163.5,1.349858807576
1.5,164.5,1.349858807576
2.5,164.5,1.349858807576
3.5,164.5,1.349858807576
4.5,164.5,1.349858807576
5.5,164.5,1.349858807576
6.5,164.5,1.349858807576
7.5,164.5,1.349858807576
8.5,164.5,1.349858807576
9.5,164.5,1.349858807576
10.5,164.5,1.349858807576
11.5,164.5,1.349858807576
12.5,164.5,1.349858807576
13.5,164.5,1.349858807576
14.5,164.5,1.349858807576
1.5,165.5,1.349858807576
2.5,165.5,1.349858807576
3.5,165.5,1.349858807576
4.5,165.5,1.349858807576
5.5,165.5,1.349858807576
6.5,165.5,1.349858807576
7.5,165.5,1.349858807576
8.5,165.5,1.349858807576
9.5,165.5,1.349858807576
10.5,165.5,1.349858807576
11.5,165.5,1.349858807576
12.5,165.5,1.349858807576
13.5,165.5,1.349858807576
14.5,165.5,1.349858807576
1.5,166.5,1.349858807576
2.5,166.5,1.349858807576
3.5,166.5,1.349858807576
4.5,166.5,1.349858807576
5.5,166.5,1.349858807576
6.5,166.5,1.349858807576
7.5,166.5,1.349858807576
8.5,166.5,1.349858807576
9.5,166.5,1.349858807576
10.5,166.5,1.349858807576
11.5,166.5,1.349858807576
12.5,166.5,1.349858807576
13.5,166.5,1.349858807576
14.5,166.5,1.349858807576
1.5,167.5,1.349858807576
2.5,167.5,1.349858807576
3.5,167.5,1.349858807576
4.5,167.5,1.349858807576
5.5,167.5,1.349858807576
6.5,167.5,1.349858807576
7.5,167.5,1.349858807576
8.5,167.5,1.349858807576
9.5,167.5,1.349858807576
10.5,167.5,1.349858807576
11.5,167.5,1.349858807576
12.5,167.5,1.349858807576
13.5,167.5,1.349858807576
14.5,167.5,1.349858807576
1.5,168.5,1.349858807576
2.5,168.5,1.349858807576
3.5,168.5,1.349858807576
4.5,168.5,1.349858807576
5.5,168.5,1.349858807576
6.5,168.5,1.349858807576
7.5,168.5,1.349858807576
8.5,168.5,1.349858807576
9.5,168.5,1.349858807576
10.5,168.5,1.349858807576
11.5,168.5,1.349858807576
12.5,168.5,1.349858807576
